"unique_id","month","province","district","territory","ppl_killed","adults_kidnapped","infants_kidnapped"
329,"11-May","Orientale","Bas-Uele","Bambesa",,,
330,"11-Jun","Orientale","Haut-Uele","Dungu",,1,
331,"11-Jun","Orientale","Haut-Uele","Dungu",,,
332,"11-Jun","Orientale","Haut-Uele","Dungu",,,1
333,"11-Jun","Orientale","Haut-Uele","Dungu",,1,
334,"11-Jun","Orientale","Haut-Uele","Dungu",,,
335,"11-Jun","Orientale","Haut-Uele","Dungu",,,1
336,"11-Jun","Orientale","Haut-Uele","Dungu",,,
337,"11-Jun","Orientale","Haut-Uele","Dungu",,,
338,"11-Jun","Orientale","Haut-Uele","Dungu",,,
339,"11-Jun","Orientale","Haut-Uele","Dungu",,,1
340,"11-Jun","Orientale","Haut-Uele","Dungu",1,,
341,"11-Jun","Orientale","Haut-Uele","Dungu",,,
342,"11-Jun","Orientale","Haut-Uele","Dungu",,,1
343,"11-Jun","Orientale","Haut-Uele","Dungu",1,,
344,"11-Jun","Orientale","Haut-Uele","Dungu",,,
345,"11-Jun","Orientale","Haut-Uele","Dungu",2,1,
346,"11-Jun","Orientale","Haut-Uele","Dungu",,,
347,"11-Jun","Orientale","Haut-Uele","Dungu",,,
348,"11-Jun","Orientale","Haut-Uele","Dungu",,,
349,"11-Jun","Orientale","Haut-Uele","Dungu",,1,
350,"11-Jun","Orientale","Haut-Uele","Dungu",1,,
351,"11-Jun","Orientale","Haut-Uele","Dungu",5,,
352,"11-Jun","Orientale","Haut-Uele","Dungu",3,,
353,"11-Jun","Orientale","Haut-Uele","Dungu",1,2,
354,"11-Jun","Orientale","Haut-Uele","Dungu",2,,
355,"11-Jun","Orientale","Haut-Uele","Dungu",,,
356,"11-Jun","Orientale","Haut-Uele","Dungu",3,,
357,"11-Jun","Orientale","Haut-Uele","Dungu",3,,
358,"11-Jun","Orientale","Haut-Uele","Dungu",,,
359,"11-Jun","Orientale","Haut-Uele","Dungu",,,
360,"11-Jun","Orientale","Haut-Uele","Dungu",,,
361,"11-Jun","Orientale","Haut-Uele","Dungu",,2,
362,"11-Jun","Orientale","Haut-Uele","Dungu",,1,1
363,"11-Jun","Orientale","Haut-Uele","Dungu",,,1
364,"11-Jun","Orientale","Haut-Uele","Dungu",,,
365,"11-Jun","Orientale","Haut-Uele","Dungu",,,
366,"11-Jun","Orientale","Haut-Uele","Dungu",,,
367,"11-Jun","Orientale","Haut-Uele","Niangara",,,1
368,"11-Jun","Orientale","Haut-Uele","Niangara",,,
369,"11-Jun","Orientale","Haut-Uele","Faradje",,,
370,"11-Jul","Orientale","Haut-Uele","Dungu",1,,
371,"11-Jul","Orientale","Haut-Uele","Dungu",,1,
372,"11-Jul","Orientale","Haut-Uele","Dungu",,2,
373,"11-Jul","Orientale","Haut-Uele","Dungu",,1,
374,"11-Jul","Orientale","Haut-Uele","Dungu",,1,
375,"11-Jul","Orientale","Haut-Uele","Dungu",,,
376,"11-Jul","Orientale","Haut-Uele","Dungu",,,1
377,"11-Jul","Orientale","Haut-Uele","Dungu",,,
378,"11-Jul","Orientale","Haut-Uele","Dungu",,,
379,"11-Jul","Orientale","Haut-Uele","Dungu",,,
380,"11-Jul","Orientale","Haut-Uele","Dungu",,,
381,"11-Jul","Orientale","Haut-Uele","Dungu",,,
382,"11-Jul","Orientale","Haut-Uele","Dungu",,,
383,"11-Jul","Orientale","Haut-Uele","Dungu",2,,
384,"11-Jul","Orientale","Haut-Uele","Dungu",,,
385,"11-Jul","Orientale","Haut-Uele","Faradje",,,1
386,"11-Jul","Orientale","Haut-Uele","Faradje",,,1
387,"11-Jul","Orientale","Haut-Uele","Faradje",,,2
388,"11-Jul","Orientale","Bas-Uele","Ango",,,
389,"11-Jul","Orientale","Bas-Uele","Ango",,,
390,"11-Jun","Orientale","Haut-Uele","Faradje",,,
391,"11-Jun","Orientale","Haut-Uele","Faradje",,,
392,"11-Jun","Orientale","Haut-Uele","Faradje",,2,1
393,"11-Jun","Orientale","Haut-Uele","Faradje",1,,1
394,"11-Jun","Orientale","Haut-Uele","Faradje",,,
395,"11-Jun","Orientale","Haut-Uele","Faradje",,,
396,"11-Jun","Orientale","Haut-Uele","Faradje",,,
397,"11-Jun","Orientale","Haut-Uele","Faradje",,,
398,"11-Jun","Orientale","Haut-Uele","Faradje",,,1
399,"11-Jun","Orientale","Haut-Uele","Faradje",,,
400,"11-Jun","Orientale","Haut-Uele","Faradje",,2,
401,"11-Jun","Orientale","Haut-Uele","Faradje",1,,
402,"11-Aug","Orientale","Haut-Uele","Dungu",,1,
403,"11-Aug","Orientale","Haut-Uele","Dungu",1,1,
404,"11-Aug","Orientale","Haut-Uele","Dungu",,1,
405,"11-Aug","Orientale","Haut-Uele","Dungu",,1,
406,"11-Aug","Orientale","Haut-Uele","Dungu",2,,
407,"11-Aug","Orientale","Haut-Uele","Dungu",,,
408,"11-Aug","Orientale","Haut-Uele","Dungu",,,
409,"11-Sep","Orientale","Haut-Uele","Dungu",,,
410,"11-Sep","Orientale","Haut-Uele","Dungu",,,1
411,"11-Sep","Orientale","Haut-Uele","Dungu",,,
412,"11-Sep","Orientale","Haut-Uele","Dungu",,,
413,"11-Sep","Orientale","Haut-Uele","Faradje",,,
414,"11-Sep","Orientale","Haut-Uele","Faradje",,,
415,"11-Sep","Orientale","Haut-Uele","Faradje",,,
416,"11-Aug","Orientale","Haut-Uele","Dungu",,3,
417,"11-Aug","Orientale","Haut-Uele","Niangara",,1,
418,"11-Oct","Orientale","Haut-Uele","Dungu",,,
419,"11-Oct","Orientale","Haut-Uele","Dungu",,,
420,"11-Oct","Orientale","Haut-Uele","Dungu",,,
421,"11-Oct","Orientale","Haut-Uele","Dungu",,,
422,"11-Oct","Orientale","Haut-Uele","Dungu",,,
423,"11-Oct","Orientale","Haut-Uele","Dungu",,,
424,"11-Oct","Orientale","Haut-Uele","Dungu",,,
425,"11-Oct","Orientale","Haut-Uele","Dungu",,,
426,"11-Oct","Orientale","Haut-Uele","Dungu",,,
427,"11-Oct","Orientale","Haut-Uele","Niangara",,,
428,"11-Nov","Orientale","Haut-Uele","Dungu",,,
429,"11-Nov","Orientale","Haut-Uele","Dungu",,,
430,"11-Nov","Orientale","Haut-Uele","Dungu",,,
431,"11-Nov","Orientale","Haut-Uele","Dungu",,,
432,"11-Nov","Orientale","Haut-Uele","Dungu",,,
433,"11-Nov","Orientale","Haut-Uele","Dungu",,,
434,"11-Nov","Orientale","Haut-Uele","Dungu",,,
435,"11-Nov","Orientale","Haut-Uele","Dungu",,,
436,"11-Nov","Orientale","Haut-Uele","Dungu",,,
437,"11-Nov","Orientale","Haut-Uele","Faradje",2,1,2
438,"11-Jun","Orientale","Bas-Uele","Ango",2,,
439,"11-Jan","Orientale","Bas-Uele","Ango",,,
440,"11-Jan","Orientale","Bas-Uele","Ango",2,,
